x,y
0.566893,-0.047686
0.574707,-0.046795
0.582502,-0.045878
0.590277,-0.045032
0.598029,-0.044224
0.605757,-0.043407
0.613458,-0.042521
0.621131,-0.041577
0.628774,-0.040671
0.636385,-0.039830
0.643962,-0.039028
0.651503,-0.038232
0.659006,-0.037341
0.666469,-0.036539
0.673891,-0.035874
0.681270,-0.035130
0.688604,-0.034245
0.695890,-0.033331
0.703128,-0.032480
0.710315,-0.031627
0.717450,-0.030757
0.724530,-0.029946
0.731555,-0.029249
0.738522,-0.028659
0.745429,-0.028024
0.752275,-0.027212
0.759059,-0.026293
0.765777,-0.025477
0.772430,-0.024803
0.779014,-0.024136
0.785530,-0.023550
0.791974,-0.023113
0.798345,-0.022990
0.804642,-0.023206
0.810862,-0.023337
0.817006,-0.023133
0.823070,-0.022583
0.829054,-0.021811
0.834956,-0.020949
0.840775,-0.020101
0.846508,-0.019307
0.852155,-0.018584
0.857715,-0.017950
0.863185,-0.017418
0.868565,-0.016986
0.873852,-0.016616
0.879047,-0.016245
0.884147,-0.015805
0.889152,-0.015290
0.894059,-0.014719
0.898869,-0.014129
0.903579,-0.013527
0.908188,-0.012916
0.912695,-0.012357
0.917100,-0.011889
0.921401,-0.011526
0.925597,-0.011236
0.929686,-0.010958
0.933669,-0.010658
0.937544,-0.010328
0.941309,-0.009980
0.944964,-0.009614
0.948509,-0.009229
0.951942,-0.008837
0.955262,-0.008467
0.958469,-0.008139
0.961561,-0.007864
0.964539,-0.007632
0.967400,-0.007427
0.970146,-0.007231
0.972774,-0.007031
0.975284,-0.006827
0.977675,-0.006626
0.979948,-0.006437
0.982101,-0.006267
0.984134,-0.006122
0.986046,-0.006005
0.987838,-0.005916
0.989507,-0.005852
0.991055,-0.005808
0.992480,-0.005779
0.993782,-0.005757
0.994962,-0.005738
0.996018,-0.005719
0.996950,-0.005700
0.997759,-0.005681
0.998443,-0.005663
0.999003,-0.005646
0.999439,-0.005632
0.999751,-0.005621
0.999938,-0.005614
1.000000,-0.005611
